e;PDF;ec6;pdfc6;dC;LC;dS;LS;dCH;LCH;dIP;LIP
;;;;86.507678;2.000220896;301.120973;1.999665776;144.813494;1.999917683;193.845483;2.000083429
;;;;86.506927;2.000220896;301.285226;2.000075578;144.810948;1.999917683;194.009972;2.000030319
;;;;86.507042;1.999696145;301.284792;1.999612792;145.14083;1.999811807;194.008246;2.000030319
;;;;86.173002;2.000323185;301.449809;1.999559809;144.972068;1.999864745;194.00652;2.000030319
;;;;86.670887;2.000169751;301.614063;1.999969614;144.969522;1.999864745;194.004794;2.000030319
;;;;86.670136;2.000169751;301.44665;2.000022596;145.133189;1.999811807;194.169283;1.999977209
;;;;86.669385;2.000169751;301.777882;1.999916633;145.130643;1.999811807;194.167558;1.999977209
;;;;86.502423;2.000220896;301.942899;1.999863651;145.128096;1.999811807;194.165832;1.999977209
;;;;86.667884;2.000169751;301.941702;1.999863651;145.125549;1.999811807;194.164106;1.999977209
;;;;86.667133;2.000169751;301.940504;1.999863651;145.455431;1.99970593;194.328595;1.9999241
;;;;86.666382;2.000169751;302.105521;1.999810669;145.452884;1.99970593;194.659299;1.99981788
;;;;86.49942;2.000220896;302.104323;1.999810669;145.616552;1.999652992;194.657573;1.99981788
;;;;86.66488;2.000169751;302.26934;1.999757688;144.782932;1.999917683;194.822062;1.999764771
;;;;86.66413;2.000169751;302.268143;1.999757688;144.282491;1.99962225;194.654122;1.99981788
;;;;86.663379;2.000169751;302.266945;1.999757688;144.279944;1.99962225;194.486181;1.99987099
;;;;86.995052;2.000067463;302.597413;2.000114571;144.609077;1.999970621;194.816885;1.999764771
;;;;86.828089;2.000118607;302.596979;1.999651724;144.60728;1.99951637;194.815159;1.999764771
;;;;86.827338;2.000118607;302.595781;1.999651724;144.770198;1.999917683;194.647218;1.99981788
;;;;86.826588;2.000118607;302.760035;2.00006159;144.933866;1.999864745;194.811707;1.999764771
;;;;86.992048;2.000067463;302.925052;2.00000861;145.429963;1.99970593;194.809982;1.999764771
;;;;86.825086;2.000118607;302.757639;2.00006159;145.261201;1.999758869;195.139929;2.000116839
;;;;86.824335;2.000118607;302.756442;2.00006159;145.258654;1.999758869;194.972745;1.999711661
